name,latitude,longitude,locality,country_code
Whangapoua Beach,-36.7187,175.62745,Whangapoua,nz
Puerto Sandino,12.19837,-86.77279,Leon (Municipality),ni
Punta Miramar,12.16923,-86.76285,Miramar,ni
El Transito,12.05251,-86.70514,El Tránsito,ni
Popoyo,11.45191,-86.10181,Las Salinas,ni
Santana,11.44266,-86.08732,"Tola, Rivas",ni
Panga Drops,11.4098,-86.056,"Tola, Rivas",ni
Playa Colorado,11.40609,-86.0483,El Gigante,ni
Manzanillo,11.3701,-86.0092,"Tola, Rivas",ni
Bore,58.79941,5.5487,Kleppe,no
Brusand,58.52907,5.77121,Bogsdalen,no
Byberg,58.83176,5.5518,Sele,no
Ervik,62.16624,5.11413,Ervik,no
Hellestø,58.8432,5.562,Tjelta,no
Hoddevika,62.12585,5.1646,Stad,no
Hovden,61.68178,4.82684,Kinn,no
Hustadvika,62.98352,7.1526,Farstad,no
Karmøy,59.19956,5.18101,Karmøy,no
Kraakevika,62.67181,6.16822,Ulla,no
Kvassheim,58.55001,5.6725,Hå,no
Lista,58.08527,6.60008,Vestbygd,no
Lop Camping,67.32314,14.47848,Løpsmarka,no
Orre,58.7303,5.51631,Kleppe,no
Pigsty,58.7635,5.50093,Klepp,no
Refsnes,58.69233,5.5507,Salte,no
Reve Havn,58.77196,5.5169,Klepp,no
Saltstein,58.96451,9.8538,Nevlunghavn,no
Seinesodden,67.20882,14.3528,Bodø,no
Sele,58.81344,5.54558,Klepp,no
Skallelv,70.20831,30.4717,Komagvær,no
Storvika,66.94828,13.71658,Storvik,no
Unstad,68.27039,13.583,Unnstad,no
Careneros,9.354482,-82.227814,Isla Carenero,pa
Ciruelo,7.424,-80.14433,Distrito Pedasí,pa
Isla Chepillo,8.94847,-79.12938,Chepillo,pa
Isla Grande,9.63498,-79.55795,Juan Gallego,pa
La Barqueta,8.3014,-82.57166,Salsipuedes,pa
Nestles,8.08277,-81.81512,Chiriquí,pa
P-Land,8.0836,-81.81755,Chiriquí,pa
Panama Viejo,9.00443,-79.48699,Parque Lefevre,pa
Paunch,9.37424,-82.23885,Bocas del Toro,pa
Playa Bluff,9.40137,-82.24637,Bocas del Toro,pa
Playa Cambutal,7.24941,-80.49001,Cambutal,pa
Playa El Toro,7.5295,-80.00284,Distrito Pedasí,pa
Playa Grande,9.63022,-79.5543,La Guayra,pa
Playa Guanico,7.24867,-80.50134,Cambutal,pa
Playa Lagarto,7.50481,-80.00032,Distrito Pedasí,pa
Playa Las Bovedas,8.950251,-79.531542,San Felipe,pa
Playa Las Lajas,8.17107,-81.87385,Las Lajas,pa
Playa Los Destiladeros,7.45317,-80.05343,Distrito Pedasí,pa
Playa Madrono,7.42335,-80.23571,Cañas,pa
Playa Malibu,8.55886,-79.84232,Chame,pa
Playa Maria Chiquita,9.4439,-79.75265,María Chiquita,pa
Playa Raya,7.42152,-80.25279,Cañas,pa
Playa Rio Mar,8.45361,-79.97197,Distrito San Carlos,pa
Playa Santa Catalina,7.62623,-81.246,Santa Catalina,pa
Playa Serena,8.54875,-79.86804,Nueva Gorgona,pa
Playa Teta,8.50683,-79.91599,Distrito San Carlos,pa
Playa Venao,7.43252,-80.19552,Distrito Pedasí,pa
Punta Brava,7.61573,-81.23857,Santa Catalina,pa
Punta Roca,7.6339,-81.2782,Santa Catalina,pa
Daugo Island,-9.50543,147.04497,Port Moresby District,pg
Pikinini,-2.57407,150.79144,Kavieng,pg
Sero Beach,-9.52989,147.24639,Taurama,pg
Vanimo,-2.68433,141.2773,Vanimo,pg
Wewak,-3.564904,143.629908,Wewak,pg
Nago,-2.58296,150.77319,Kavieng,pg
Ral Island,-2.61066,150.70938,Lamet District,pg
Caballeros,-12.32458,-76.8374,Punta Hermosa,pe
Cabo Blanco,-4.25031,-81.23267,Cabo Blanco,pe
Cerro Azul,-13.02844,-76.48464,Cerro Azul,pe
Chicama,-7.704094,-79.443689,Puerto Malabrigo,pe
El Huayaco,-12.38414,-76.78928,San Bartolo,pe
El Paso,-12.33833,-76.82828,Punta Hermosa,pe
Herradurra,-12.18086,-77.03787,Chorrillos,pe
La Isla,-12.33873,-76.82112,Punta Hermosa,pe
Lobitos,-4.45346,-81.28602,Lobitos,pe
Makaha,-12.1292,-77.03642,Miraflores,pe
Mancora,-4.1109,-81.06747,Máncora,pe
Oscar Point,-12.32959,-76.83313,Punta Hermosa,pe
Pacasmayo,-7.41443,-79.58846,Pacasmayo,pe
Penascal,-12.3858,-76.787965,San Bartolo,pe
Pico Alto,-12.4083,-76.8277,Pucusana,pe
Playa Norte,-12.33521,-76.82942,Punta Hermosa,pe
Pulpos,-12.30818,-76.84548,Lurín,pe
Punta Huanchaco,-8.08239,-79.12337,Huanchaquito,pe
Punta Panico,-4.25077,-81.23834,Cabo Blanco,pe
Punta Rocas,-12.352,-76.81714,Punta Negra,pe
Senoritas,-12.3291,-76.83495,Punta Hermosa,pe
Spot Kontiki,-12.3473,-76.81747,Punta Negra,pe
El Silencio,-12.31261,-76.84166,Punta Hermosa,pe
Santa Rosa,-12.381755,-76.78849,Punta Negra,pe
Badoc Island Lefts,17.9243,120.4169,Badoc,ph
Badoc Point,17.92041,120.43957,Ilocos Norte,ph
Barrio,9.7455,126.1705,Malinao,ph
Bauang,16.54244,120.31893,Quinavite,ph
Boulevard,11.6154,125.43833,Borongan,ph
Car-rille,16.64427,120.30779,San Fernando,ph
Caridad,9.91842,126.11547,Caridad,ph
Cauit Point,9.30347,126.20562,Uba,ph
Cloud 9,9.8137,126.1652,Catangnan,ph
Darigayos,16.8191,120.33383,Almeida,ph
Horseshoe,9.8017,126.16723,Catangnan,ph
Jelly's Point,9.30673,126.17302,Capandan,ph
Lanuza,9.23391,126.05564,Lanuza,ph
Llorente,11.41315,125.5483,Llorente,ph
Lucky Point,13.66896,124.41388,Guinsaanan,ph
Mabuntok,9.639743,126.1806,La Janusa,ph
Majestics,13.68978,124.3952,Paniquihan,ph
Manangat,17.5417,120.35837,Vigan,ph
Marami Beach,9.0796,126.1792,Tandag,ph
Mona Lisa Point,16.6393,120.3072,San Fernando,ph
Moshi Moshi,9.24909,126.10358,Sibahay,ph
Nalvo,17.36104,120.4547,Santa Maria,ph
